date,name,data_url,data_format,data_source_url,data_source_name,r_code,python_code,youtube,presenter,presenter_url
2023-02-15,Tuskegee Airmen ,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2022/2022-02-08/airmen.csv,CSV,https://github.com/rfordatascience/tidytuesday/tree/master/data/2022/2022-02-08,Tidy Tuesday,www/airmen-data-visulization.R,NA,https://youtube.com/live/xhkx5jqe2iQ?feature=share,Jeff Oliver,https://jcoliver.github.io/
2023-03-15,Jobs & Gender ,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2019/2019-03-05/jobs_gender.csv,CSV,https://github.com/rfordatascience/tidytuesday/tree/master/data/2019/2019-03-05,Tidy Tuesday,www/equal-pay.qmd,www/equal-pay.ipynb,https://youtube.com/live/C2Z4CFsDdnY?feature=share,Adriana Picoral,https://adrianapicoral.com/
2023-04-19,Project Feeder Watch,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2023/2023-01-10/PFW_2021_public.csv,CSV,https://github.com/rfordatascience/tidytuesday/tree/master/data/2023/2023-01-10,Tidy Tuesday,www/project-feeder-watch.R,NA,https://youtube.com/live/QW1ZCZXMUq4?feature=share,Ellen Bledsoe,https://bleds22e.github.io/bleds22e/
2023-05-17,Threatened Plants,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2020/2020-08-18/plants.csv,CSV,https://github.com/rfordatascience/tidytuesday/blob/master/data/2020/2020-08-18,Tidy Tuesday,www/explore-threatened-species.R,NA,https://youtu.be/WUMAHCFtkWM,Eric Scott,https://ericrscott.com/
